location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Jo Daviess, Illinois",17085,Confirmed (per 100k),56.510,0.673,0.011905,54.411,3,0,3,-1
"Gloucester, Virginia",51073,Confirmed (per 100k),56.228,0.383,0.006803,98.080,3,0,3,0
"Davidson, North Carolina",37057,Confirmed (per 100k),56.083,0.767,0.013678,48.481,3,0,3,-1
"Vermilion, Louisiana",22113,Confirmed (per 100k),55.452,0.960,0.017316,33.616,3,0,3,-1
"Gem, Idaho",16045,Confirmed (per 100k),55.212,0.789,0.014286,46.093,3,0,3,-1
"Washington, Vermont",50023,Confirmed (per 100k),54.786,0.978,0.017857,35.696,3,0,3,-1
"McClain, Oklahoma",40087,Confirmed (per 100k),54.356,0.706,0.012987,47.133,3,0,3,0
"Georgetown, South Carolina",45043,Confirmed (per 100k),54.244,0.456,0.008403,80.751,3,0,3,-1
"Pulaski, Kentucky",21199,Confirmed (per 100k),53.864,0.440,0.008163,81.444,3,0,3,-1
"Davie, North Carolina",37059,Confirmed (per 100k),53.681,0.333,0.006211,109.863,3,0,3,0
"Indian River, Florida",12061,Confirmed (per 100k),53.151,0.983,0.018487,35.570,3,0,3,-1
"New Madrid, Missouri",29143,Confirmed (per 100k),52.706,0.837,0.015873,39.162,3,0,3,-1
"Fillmore, Minnesota",27045,Confirmed (per 100k),52.214,0.678,0.012987,49.559,3,0,3,3
"Lincoln, Nebraska",31111,Confirmed (per 100k),51.555,0.409,0.007937,83.524,3,0,3,3
"Orangeburg, South Carolina",45075,Confirmed (per 100k),51.059,0.995,0.019481,31.768,3,0,3,0
"Collin, Texas",48085,Confirmed (per 100k),50.931,0.953,0.018704,34.561,3,0,3,-1
"Kitsap, Washington",53035,Confirmed (per 100k),50.834,0.316,0.006211,107.784,3,0,3,0
"Greene, Tennessee",47059,Confirmed (per 100k),50.674,0.827,0.016327,33.963,3,0,3,0
"Livingston, Illinois",17105,Confirmed (per 100k),50.494,0.801,0.015873,41.934,3,0,3,-1
"McLean, Illinois",17113,Confirmed (per 100k),50.141,0.666,0.013289,49.473,3,0,3,0
"Montezuma, Colorado",8083,Confirmed (per 100k),49.651,0.546,0.010989,59.957,3,0,3,-2
"Faulkner, Arkansas",5045,Confirmed (per 100k),49.204,0.340,0.006912,96.000,3,0,3,0
"Polk, North Carolina",37149,Confirmed (per 100k),48.253,0.689,0.014286,44.707,3,0,3,0
"Natrona, Wyoming",56025,Confirmed (per 100k),47.584,0.894,0.018797,34.587,3,0,3,-1
"Linn, Oregon",41043,Confirmed (per 100k),47.014,0.771,0.016393,37.874,3,0,3,-1
"Cayuga, New York",36011,Confirmed (per 100k),47.012,0.933,0.019841,33.478,3,0,3,-1
"Columbia, Wisconsin",55021,Confirmed (per 100k),46.930,0.497,0.010582,63.769,3,0,3,0
"San Luis Obispo, California",6079,Confirmed (per 100k),46.625,0.908,0.019481,33.116,3,0,3,-1
"Chester, Tennessee",47023,Confirmed (per 100k),46.251,0.826,0.017857,34.310,3,0,3,3
"Jefferson, Ohio",39081,Confirmed (per 100k),45.924,0.875,0.019048,29.804,3,0,3,0
"Charlevoix, Michigan",26029,Confirmed (per 100k),45.901,0.546,0.011905,54.411,3,0,3,0
"Roscommon, Michigan",26143,Confirmed (per 100k),45.797,0.595,0.012987,44.014,3,0,3,0
"Wichita, Texas",48485,Confirmed (per 100k),45.375,0.324,0.007143,91.842,3,0,3,0
"Champaign, Illinois",17019,Confirmed (per 100k),45.305,0.613,0.013534,48.558,3,0,3,0
"Iredell, North Carolina",37097,Confirmed (per 100k),45.103,0.786,0.017422,36.666,3,0,3,-1
"Marshall, Kentucky",21157,Confirmed (per 100k),45.016,0.459,0.010204,56.491,3,0,3,-2
"Centre, Pennsylvania",42027,Confirmed (per 100k),44.955,0.264,0.005871,116.102,3,0,3,-1
"Cleveland, North Carolina",37045,Confirmed (per 100k),44.922,0.875,0.019481,32.808,3,0,3,-1
"Manistee, Michigan",26101,Confirmed (per 100k),44.792,0.582,0.012987,50.946,3,0,3,-1
"Sagadahoc, Maine",23023,Confirmed (per 100k),44.623,0.398,0.008929,73.126,3,0,3,3
"Harrison, West Virginia",54033,Confirmed (per 100k),44.606,0.212,0.004762,141.055,3,0,3,3
"Oswego, New York",36075,Confirmed (per 100k),44.397,0.610,0.013736,42.212,3,0,3,-1
"Montgomery, Ohio",39113,Confirmed (per 100k),44.199,0.914,0.020669,30.497,3,0,3,-1
"Hernando, Florida",12053,Confirmed (per 100k),43.317,0.958,0.022109,28.711,3,0,3,-1
"Walton, Florida",12131,Confirmed (per 100k),43.202,0.579,0.013393,48.404,3,0,3,0
"Piatt, Illinois",17147,Confirmed (per 100k),42.829,0.874,0.020408,31.537,3,0,3,0
"Effingham, Georgia",13103,Confirmed (per 100k),41.993,0.889,0.021164,29.631,3,0,3,-1
"Carroll, Illinois",17015,Confirmed (per 100k),41.943,0.999,0.023810,25.298,3,0,3,3
"Knox, Tennessee",47093,Confirmed (per 100k),41.249,0.759,0.018409,34.864,3,0,3,0
"St. Joseph, Michigan",26149,Confirmed (per 100k),41.008,0.937,0.022857,27.378,3,0,3,0
