State,Metric,Date,Value
New York,Deaths,2020-03-23T04:00:00Z,158
New York,Deaths,2020-03-24T04:00:00Z,210
New York,Deaths,2020-03-25T04:00:00Z,285
New York,Deaths,2020-03-26T04:00:00Z,385
New York,Deaths,2020-03-27T04:00:00Z,527
New York,Deaths,2020-03-28T04:00:00Z,728
New York,Deaths,2020-03-29T04:00:00Z,965
New York,Deaths,2020-03-30T04:00:00Z,1218
New York,Deaths,2020-03-31T04:00:00Z,1550
New York,Deaths,2020-04-01T04:00:00Z,1941
New York,Deaths,2020-04-02T04:00:00Z,2373
New York,Deaths,2020-04-03T04:00:00Z,2935
New York,Deaths,2020-04-04T04:00:00Z,3565
New York,Deaths,2020-04-05T04:00:00Z,4159
New York,Deaths,2020-04-06T04:00:00Z,4698
New York,Deaths,2020-04-07T04:00:00Z,5489
New York,Deaths,2020-04-08T04:00:00Z,6268
New York,Deaths,2020-04-09T04:00:00Z,7067
New York,Deaths,2020-04-10T04:00:00Z,7867
New York,Deaths (per 100k),2020-03-22T04:00:00Z,0.60
New York,Deaths (per 100k),2020-03-23T04:00:00Z,0.81
New York,Deaths (per 100k),2020-03-24T04:00:00Z,1.08
New York,Deaths (per 100k),2020-03-25T04:00:00Z,1.47
New York,Deaths (per 100k),2020-03-26T04:00:00Z,1.98
New York,Deaths (per 100k),2020-03-27T04:00:00Z,2.71
New York,Deaths (per 100k),2020-03-28T04:00:00Z,3.74
New York,Deaths (per 100k),2020-03-29T04:00:00Z,4.96
New York,Deaths (per 100k),2020-03-30T04:00:00Z,6.26
New York,Deaths (per 100k),2020-03-31T04:00:00Z,7.97
New York,Deaths (per 100k),2020-04-01T04:00:00Z,9.98
New York,Deaths (per 100k),2020-04-02T04:00:00Z,12.20
New York,Deaths (per 100k),2020-04-03T04:00:00Z,15.09
New York,Deaths (per 100k),2020-04-04T04:00:00Z,18.33
New York,Deaths (per 100k),2020-04-05T04:00:00Z,21.38
New York,Deaths (per 100k),2020-04-06T04:00:00Z,24.15
New York,Deaths (per 100k),2020-04-07T04:00:00Z,28.22
New York,Deaths (per 100k),2020-04-08T04:00:00Z,32.22
New York,Deaths (per 100k),2020-04-09T04:00:00Z,36.33
New York,Deaths (per 100k),2020-04-10T04:00:00Z,40.44
Washington,Confirmed,2020-03-22T04:00:00Z,1997
