Region,Nation,Model,Metric,Forecast Date,Peak Day,Peak Value,May 1,June 1,July 1,May 1 Total,June 1 Total,July 1 Total,Total,Curve,Parameters,k,First Fit Day,Last Fit Day,SE Totals,SE Deltas
Utah,US,Gompertz21,Deaths,2020-04-26,2020-04-29,1.8,1.8,1.0,0.4,50,96,116,126,Gompertz,125.72311959126732; 0.04; 38.21145822963282,0.040,2020-04-05,2020-04-25,1.7,1.6
Vermont,US,Gompertz21,Deaths,2020-04-26,2020-03-30,1.2,0.2,0.0,0.0,34,36,36,36,Gompertz,35.805618345348435; 0.0934792271682969; 10.0,0.093,2020-03-22,2020-04-11,1.1,1.0
Vermont,US,Gompertz21,Deaths,2020-04-26,2020-04-14,1.2,1.0,0.4,0.1,50,71,79,82,Gompertz,82.22406945279903; 0.04; 25.012656628140878,0.040,2020-03-29,2020-04-18,1.5,1.2
Vermont,US,Gompertz21,Deaths,2020-04-26,2020-04-15,1.3,1.1,0.5,0.2,52,77,86,90,Gompertz,89.78522778591646; 0.04; 26.868369989383172,0.040,2020-04-05,2020-04-25,1.5,1.1
Virginia,US,Gompertz21,Deaths,2020-04-26,2020-05-07,35.5,34.0,25.2,9.9,643,1646,2151,2414,Gompertz,2414.0251553100275; 0.04; 54.99011664601202,0.040,2020-03-22,2020-04-11,6.4,8.1
Virginia,US,Gompertz21,Deaths,2020-04-26,2020-05-07,33.2,32.0,23.4,9.2,613,1548,2015,2258,Gompertz,2257.980007383132; 0.04; 54.6433927587216,0.040,2020-03-29,2020-04-18,7.9,10.2
Virginia,US,Gompertz21,Deaths,2020-04-26,2020-05-06,33.0,32.2,21.7,7.9,620,1529,1950,2149,Gompertz,2149.301278742055; 0.041783423687984066; 53.20892830479761,0.042,2020-04-05,2020-04-25,7.7,10.4
Washington,US,Gompertz21,Deaths,2020-04-26,2020-04-19,30.1,27.5,12.4,4.3,1090,1706,1937,2047,Gompertz,2046.6929918564974; 0.04; 40.43682693946613,0.040,2020-03-22,2020-04-11,7.9,8.9
Washington,US,Gompertz21,Deaths,2020-04-26,2020-04-03,24.8,6.1,0.5,0.0,740,811,817,817,Gompertz,817.4594879431078; 0.08234388969871108; 24.059777638453625,0.082,2020-03-29,2020-04-18,10.2,9.4
Washington,US,Gompertz21,Deaths,2020-04-26,2020-04-07,20.6,12.3,3.2,0.7,815,1029,1079,1093,Gompertz,1092.6163247623163; 0.05131953550480119; 28.0696949695706,0.051,2020-04-05,2020-04-25,9.7,8.6
West Virginia,US,Gompertz21,Deaths,2020-04-26,2020-05-04,1.1,1.1,0.7,0.3,24,55,69,77,Gompertz,76.75474943489168; 0.04000965351572464; 35.96595156851056,0.040,2020-03-22,2020-04-11,0.4,0.5
West Virginia,US,Gompertz21,Deaths,2020-04-26,2020-05-14,4.1,3.4,3.3,1.4,51,170,239,278,Gompertz,277.8412242643344; 0.04; 45.33774712769775,0.040,2020-03-29,2020-04-18,0.8,0.8
West Virginia,US,Gompertz21,Deaths,2020-04-26,2020-05-04,3.4,3.3,1.7,0.4,54,138,166,174,Gompertz,174.223760811178; 0.05234407569856588; 35.10308193755786,0.052,2020-04-05,2020-04-25,1.4,1.4
Wisconsin,US,Gompertz21,Deaths,2020-04-26,2020-04-16,14.7,10.0,1.6,0.2,404,555,576,579,Gompertz,579.406302835361; 0.06883558463458948; 27.14835809937609,0.069,2020-03-22,2020-04-11,3.0,3.9
Wisconsin,US,Gompertz21,Deaths,2020-04-26,2020-04-10,11.9,4.2,0.3,0.0,303,350,353,353,Gompertz,353.03597780509375; 0.09177535696299156; 21.48056662829268,0.092,2020-03-29,2020-04-18,3.1,4.3
Wisconsin,US,Gompertz21,Deaths,2020-04-26,2020-04-10,11.6,4.4,0.3,0.0,303,353,356,357,Gompertz,356.5930348206381; 0.08853679123598511; 21.54784388578368,0.089,2020-04-05,2020-04-25,2.8,4.1
Wyoming,US,Gompertz21,Deaths,2020-04-26,2020-05-14,1.2,0.9,0.9,0.3,10,44,61,68,Gompertz,68.35030336878727; 0.04617283183175317; 31.72238295336548,0.046,2020-03-30,2020-04-11,NaN,NaN
Wyoming,US,Gompertz21,Deaths,2020-04-26,2020-05-14,1.2,0.9,0.9,0.3,10,43,61,68,Gompertz,67.84158950741939; 0.04610440818532357; 31.714138996550936,0.046,2020-04-06,2020-04-18,0.2,0.4
Wyoming,US,Gompertz21,Deaths,2020-04-26,2020-05-15,3.0,2.0,2.2,0.6,18,100,140,153,Gompertz,152.85407440439994; 0.05290019534659798; 32.61997427824023,0.053,2020-04-13,2020-04-25,0.9,1.2
